Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\samples\Abp.CmsKit\Abp.CmsKit.csproj,File,src\samples\Abp.CmsKit\Abp.CmsKit.csproj,,,Microsoft.AspNetCore.Components.Web 8.0.5,,,,,"Microsoft.AspNetCore.Components.Web, 8.0.5  Recommendation:  Remove Microsoft.AspNetCore.Components.Web, and replace with new package Microsoft.AspNetCore.Components.Web 10.0.9"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\samples\Abp.CmsKit\Abp.CmsKit.csproj,File,src\samples\Abp.CmsKit\Abp.CmsKit.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\modules\Polaris.Abp.DatabaseManagement\Polaris.Abp.DatabaseManagement.csproj,File,src\modules\Polaris.Abp.DatabaseManagement\Polaris.Abp.DatabaseManagement.csproj,,,Microsoft.EntityFrameworkCore 8.0.0,,,,,"Microsoft.EntityFrameworkCore, 8.0.0  Recommendation:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\modules\Polaris.Abp.DatabaseManagement\Polaris.Abp.DatabaseManagement.csproj,File,src\modules\Polaris.Abp.DatabaseManagement\Polaris.Abp.DatabaseManagement.csproj,,,Microsoft.EntityFrameworkCore.InMemory 8.0.0,,,,,"Microsoft.EntityFrameworkCore.InMemory, 8.0.0  Recommendation:  Remove Microsoft.EntityFrameworkCore.InMemory, and replace with new package Microsoft.EntityFrameworkCore.InMemory 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\modules\Polaris.Abp.DatabaseManagement\Polaris.Abp.DatabaseManagement.csproj,File,src\modules\Polaris.Abp.DatabaseManagement\Polaris.Abp.DatabaseManagement.csproj,,,Microsoft.EntityFrameworkCore.Design 8.0.0,,,,,"Microsoft.EntityFrameworkCore.Design, 8.0.0  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\modules\Polaris.Abp.DatabaseManagement\Polaris.Abp.DatabaseManagement.csproj,File,src\modules\Polaris.Abp.DatabaseManagement\Polaris.Abp.DatabaseManagement.csproj,,,Microsoft.EntityFrameworkCore.Tools 8.0.0,,,,,"Microsoft.EntityFrameworkCore.Tools, 8.0.0  Recommendation:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.9"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\modules\Polaris.Abp.DatabaseManagement\Polaris.Abp.DatabaseManagement.csproj,File,src\modules\Polaris.Abp.DatabaseManagement\Polaris.Abp.DatabaseManagement.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\modules\Polaris.Abp.DatabaseManagement.Sqlite\Polaris.Abp.DatabaseManagement.Sqlite.csproj,File,src\modules\Polaris.Abp.DatabaseManagement.Sqlite\Polaris.Abp.DatabaseManagement.Sqlite.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\modules\Polaris.Abp.DatabaseManagement.SqlServer\Polaris.Abp.DatabaseManagement.SqlServer.csproj,File,src\modules\Polaris.Abp.DatabaseManagement.SqlServer\Polaris.Abp.DatabaseManagement.SqlServer.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,test\Polaris.Abp.DatabaseManagement.Tests\Polaris.Abp.DatabaseManagement.Tests.csproj,File,test\Polaris.Abp.DatabaseManagement.Tests\Polaris.Abp.DatabaseManagement.Tests.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\modules\Polaris.Abp.Extension.Abstractions\Polaris.Abp.Extension.Abstractions.csproj,File,src\modules\Polaris.Abp.Extension.Abstractions\Polaris.Abp.Extension.Abstractions.csproj,,,Microsoft.EntityFrameworkCore 8.0.0,,,,,"Microsoft.EntityFrameworkCore, 8.0.0  Recommendation:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.9"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\modules\Polaris.Abp.Extension.Abstractions\Polaris.Abp.Extension.Abstractions.csproj,File,src\modules\Polaris.Abp.Extension.Abstractions\Polaris.Abp.Extension.Abstractions.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\host\Polaris.Abp.Host\Polaris.Abp.Host.csproj,File,src\host\Polaris.Abp.Host\Polaris.Abp.Host.csproj,,,Microsoft.Extensions.FileProviders.Embedded 8.0.0,,,,,"Microsoft.Extensions.FileProviders.Embedded, 8.0.0  Recommendation:  Remove Microsoft.Extensions.FileProviders.Embedded, and replace with new package Microsoft.Extensions.FileProviders.Embedded 10.0.9"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\host\Polaris.Abp.Host\Polaris.Abp.Host.csproj,File,src\host\Polaris.Abp.Host\Polaris.Abp.Host.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\themes\Polaris.Abp.NewFireTheme\Polaris.Abp.NewFireTheme.csproj,File,src\themes\Polaris.Abp.NewFireTheme\Polaris.Abp.NewFireTheme.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0005,NuGet package is deprecated,Active,Optional,1,src\modules\Polaris.Abp.PluginManagement\Polaris.Abp.PluginManagement.csproj,File,src\modules\Polaris.Abp.PluginManagement\Polaris.Abp.PluginManagement.csproj,,,Microsoft.AspNetCore.Http.Abstractions 2.2.0,,,,,"Microsoft.AspNetCore.Http.Abstractions, 2.2.0  Recommendation:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.AspNetCore.Http.Abstractions, and replace with new package Microsoft.AspNetCore.Http.Abstractions, 2.3.11"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\modules\Polaris.Abp.PluginManagement\Polaris.Abp.PluginManagement.csproj,File,src\modules\Polaris.Abp.PluginManagement\Polaris.Abp.PluginManagement.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0005,NuGet package is deprecated,Active,Optional,1,test\Polaris.Abp.TestBase\Polaris.Abp.TestBase.csproj,File,test\Polaris.Abp.TestBase\Polaris.Abp.TestBase.csproj,,,xunit 2.6.1,,,,,"xunit, 2.6.1  Recommendation:  This package will only be updated for security issues. All future feature work has moved onto v3.  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove xunit, and replace with new package xunit, 2.9.3"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,test\Polaris.Abp.TestBase\Polaris.Abp.TestBase.csproj,File,test\Polaris.Abp.TestBase\Polaris.Abp.TestBase.csproj,,,xunit.extensibility.execution 2.6.1,,,,,"xunit.extensibility.execution, 2.6.1  Recommendation:  This package will only be updated for security issues. All future feature work has moved onto v3.  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration-extensibility Remove xunit.extensibility.execution, and replace with new package xunit.extensibility.execution, 2.9.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,test\Polaris.Abp.TestBase\Polaris.Abp.TestBase.csproj,File,test\Polaris.Abp.TestBase\Polaris.Abp.TestBase.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\modules\Polaris.Abp.ThemeManagement\Polaris.Abp.ThemeManagement.csproj,File,src\modules\Polaris.Abp.ThemeManagement\Polaris.Abp.ThemeManagement.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
